BillNumber,BillDate,DueDate,VendorID,VendorName,Source,PaymentTerms,CurrencySymbol,SubTotal,Total,Balance,CreatedTime,LineItemID,ItemID,SKU,ItemName,Description,Quantity,Unit,Rate,ItemTotal,CustomerID,CustomerName,,,,,,
389,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,771.9,771.9,771.89,48:25.0,3.69556E+18,3.69556E+18,SKU40NO,Avocado,per kg ,6,unit,37.2,223.2,3.69556E+18,Cozy Zambia,,,,,,
389,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,771.9,771.9,771.89,48:25.0,3.69556E+18,3.69556E+18,SKU482NO,Lemons,per kg ,4,unit,55.8,223.2,3.69556E+18,Cozy Zambia,,,,,,
389,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,771.9,771.9,771.89,48:25.0,3.69556E+18,3.69556E+18,SKU846NE,Radish,per bunch ,2,unit,23.25,46.5,3.69556E+18,Cozy Zambia,,,,,,
163,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2918.43,2918.43,2918.42,59:14.0,3.69556E+18,3.69556E+18,SKU116LM,Rape,per bunch ,5,unit,16.74,83.7,3.69556E+18,Freshbake Waddington,,,,,,
163,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2918.43,2918.43,2918.42,59:14.0,3.69556E+18,,SKU141KA,Cabbage (White),per head ,4,unit,18.6,74.4,3.69556E+18,Freshbake Waddington,,,,,,
163,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2918.43,2918.43,2918.42,59:14.0,3.69556E+18,3.69556E+18,SKU191IJ,Tomatoes,per kg,10,unit,17.67,176.7,3.69556E+18,Freshbake Waddington,,,,,,
163,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2918.43,2918.43,2918.42,59:14.0,3.69556E+18,3.69556E+18,SKU267GH,Onions (White),per bag ,1,unit,164.7,164.7,3.69556E+18,Freshbake Waddington,,,,,,
163,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2918.43,2918.43,2918.42,59:14.0,3.69556E+18,3.69556E+18,SKU967KL,Eggs (Chicken),per tray ,27,unit,86.49,2335.23,3.69556E+18,Freshbake Waddington,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU121QR,Parsley,per bunch,5,unit,16.74,83.7,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU125UV,Cauliflower,per head,10,unit,60.45,604.5,3.69556E+18,Newrest,,,,,,
